wave,flux
613,0.17852758
614,0.11336837
615,0.09913161
616,0.11692765
617,0.14393565
618,0.15232481
619,0.18033622
620,0.24431123
621,0.30329758
622,0.31606966
623,0.31983623
624,0.3066277
625,0.2945721
626,0.29435593
627,0.29726395
628,0.30737206
629,0.34287953
630,0.31134242
631,0.30390283
632,0.33067662
633,0.30973214
634,0.33314943
635,0.30714378
636,0.29590794
637,0.2955079
638,0.3011776
639,0.32324955
640,0.31396633
641,0.31870562
642,0.31925172
643,0.3216727
644,0.3131902
645,0.27363852
646,0.25447917
647,0.26757717
648,0.25533953
649,0.18770903
650,0.11770422
651,0.13427848
652,0.21891007
653,0.27328178
654,0.275298
655,0.24214321
656,0.21321006
657,0.23431529
658,0.30783868
659,0.3232263
660,0.32401952
661,0.32926807
662,0.33213526
663,0.33040637
664,0.33491874
665,0.3436564
666,0.30787688
667,0.2710603
668,0.26730105
669,0.27906448
670,0.30065158
671,0.3151055
672,0.31107485
673,0.29699284
674,0.29465094
675,0.30673608
676,0.2886302
677,0.3050705
678,0.31233978
679,0.30508968
680,0.3032204
681,0.3139717
682,0.31589842
683,0.28757572
684,0.26330096
685,0.24574997
686,0.21837229
687,0.1855807
688,0.19297628
689,0.19507782
690,0.16912462
691,0.10242742
692,0.050076988
693,0.09263807
694,0.17693189
695,0.2527619
696,0.2976977
697,0.30336678
698,0.25899494
699,0.17172083
700,0.111856304
701,0.12124076
702,0.1790016
703,0.23373383
704,0.2701635
705,0.3040492
706,0.30998236
707,0.3053747
708,0.31388998
709,0.3143183
710,0.311916
711,0.33658388
712,0.343638
713,0.31802157
714,0.32497963
715,0.32462454
716,0.29909807
717,0.29456353
718,0.2947766
719,0.29654554
720,0.27902266
721,0.22290818
722,0.16436565
723,0.17096105
724,0.22300576
725,0.28789085
726,0.32233536
727,0.33130518
728,0.32718676
729,0.31295097
730,0.3104232
731,0.3140233
732,0.31391248
733,0.32570577
734,0.33439955
735,0.29959777
736,0.25066662
737,0.22241315
738,0.23828387
739,0.2725757
740,0.2887056
741,0.28733784
742,0.321693
743,0.32941326
744,0.32680604
745,0.32801172
746,0.3264012
747,0.3130385
748,0.30549222
749,0.30365604
750,0.31967035
751,0.31761616
752,0.30361366
753,0.31967452
754,0.30662674
755,0.3193936
756,0.33812794
757,0.30428457
758,0.24661323
759,0.2507185
760,0.25275463
761,0.31087255
762,0.31193182
763,0.29814592
764,0.30651143
765,0.2875141
766,0.2719378
767,0.23681414
768,0.18617064
769,0.18506435
770,0.24889714
771,0.30695322
772,0.3138784
773,0.29540125
774,0.2980274
775,0.30184224
776,0.29664326
777,0.30720386
778,0.31097496
779,0.30625102
780,0.2956485
781,0.27012625
782,0.24680208
783,0.26770082
784,0.31673095
785,0.29764116
786,0.2534717
787,0.18997666
788,0.12804234
789,0.116540365
790,0.113959774
791,0.13706136
792,0.21665475
793,0.2847001
794,0.29215804
795,0.265263
796,0.2094721
797,0.13977236
798,0.10189429
799,0.10807641
800,0.15542518
801,0.23164025
802,0.2851535
803,0.30027655
804,0.30553934
805,0.30876118
806,0.3114511
807,0.31719783
808,0.30704504
809,0.2873119
810,0.2858819
811,0.2773057
812,0.2557039
813,0.25750095
814,0.26596576
815,0.28022993
816,0.2735292
817,0.27926522
818,0.30358082
819,0.30461156
820,0.31609076
821,0.30267733
822,0.27639377
823,0.21517026
824,0.12471724
825,0.06275426
826,0.044862755
827,0.091546595
828,0.15375756
829,0.2068643
830,0.23369649
831,0.22429001
832,0.22934932
833,0.20041007
834,0.12014262
835,0.06460596
836,0.09295674
837,0.17388408
838,0.236725
839,0.2596052
840,0.2855653
841,0.29924986
842,0.2990223
843,0.31212804
844,0.27008474
845,0.23459494
846,0.21228799
847,0.16248854
848,0.106723085
849,0.13696675
850,0.23032928
851,0.28365
852,0.2795654
853,0.2771812
854,0.29278633
855,0.27799776
856,0.2617904
857,0.20085905
858,0.120195255
859,0.050749827
860,0.02454367
861,0.05841543
862,0.094503485
863,0.11473943
864,0.08895518
865,0.04210211
866,0.021783546
867,0.051959228
868,0.10632476
869,0.11711854
870,0.09728998
871,0.08249085
872,0.10562187
873,0.16697735
874,0.18760851
875,0.15533023
876,0.08968611
877,0.044437088
878,0.052128114
879,0.09058538
880,0.11945735
881,0.1212434
882,0.07488783
883,0.029222447
884,0.019707257
885,0.018199984
886,0.019894877
887,0.044510007
888,0.06906241
889,0.075837
890,0.06908501
891,0.061555985
892,0.04014871
893,0.027107647
894,0.028560659
895,0.030952925
896,0.02403078
897,0.014118662
898,0.009104633
899,0.0018230538
900,0.0011607147
901,0.0021684556
902,0.0010080264
903,0.0041303243
904,0.0029845037
905,-0.0023492258
906,-0.0017163202
907,0.0046903575
908,0.007034489
909,0.00033311747
910,0.0036587145
911,0.0023824328
912,-0.002103107
913,-0.00041973137
914,0.004851661
915,0.0006186707
916,0.00045969107
917,0.004732021
918,-0.0010762477
919,-0.0012191259
920,0.0084740985
921,0.0034102546
922,0.0022448609
923,-1.5303205E-05
924,0.0047701695
925,0.0028778869
926,-0.0050540147
927,0.0042217416
928,-0.00024037025
929,0.0006256341
930,0.007445918
931,0.0045379275
932,-0.004024692
933,0.0057408097
934,0.0074937623
935,0.012621016
936,0.019570023
937,0.02353879
938,0.029325264
939,0.045917235
940,0.05638438
941,0.06750198
942,0.07466271
943,0.07224052
944,0.07862095
945,0.11692929
946,0.12694937
947,0.1358072
948,0.1427533
949,0.15389521
950,0.17370187
951,0.18382062
952,0.15273656
953,0.114984274
954,0.116246164
955,0.1420628
956,0.16050789
957,0.1731005
958,0.20590101
959,0.2586264
960,0.3031243
961,0.3206693
962,0.32642397
963,0.3475937
964,0.34004626
965,0.35604694
966,0.36543277
